,Unnamed: 0,Year,GNP,GNP_PriceIndexLevel,date,symbol,retainedEarnings,totalAssets,totalLiabilities,totalCurrentAssets,totalCurrentLiabilities,shortTermDebt,longTermDebt,workingCapital,Strike_Price,revenue,ebit,depreciationAndAmortization,interestExpense,interestIncome,netIncome,deferredIncomeTax,fundFromOperations,marketCapitalization,stockPrice,numberOfShares,Altman_A,Altman_B,Altman_C,Altman_D,Altman_E,Ohlson_A,Ohlson_B,Ohlson_C,Ohlson_D,Ohlson_E,Ohlson_F,Ohlson_G,netIncome_Lag1,netIncome_Lag2,netLoss_2Years,Ohlson_H,netIncome_Lag1_Sum,netIncome_Lag1_Diff,Ohlson_I
37,37,2022,26156.16425,2762.7858849103472,2022-09-24,AAPL,-3068000000,352755000000,302083000000,135405000000,153982000000,21110000000,98959000000,-18577000000,70589500000.0,394328000000,122034000000,11104000000,2931000000,2825000000,99803000000,895000000,111802000000,2439367314090,150.43,16215963000,-0.05266261286161784,-0.008697254468398747,0.3459454862439937,8.075155881297524,1.1178523337727317,127680904.23751637,0.8563535598361469,-0.05266261286161784,1.1371958199475647,0,0.2829244092925685,0.3701035808039512,94680000000.0,57411000000.0,152091000000.0,0,194483000000.0,5123000000.0,0.026341633973149325
57,57,2023,27820.7545,2938.6108416166567,2023-09-30,AAPL,-214000000,352583000000,290437000000,143566000000,145308000000,15807000000,95281000000,-1742000000,63447500000.0,383285000000,114301000000,11519000000,3933000000,3750000000,96995000000,0,108514000000,2695569789510,171.21,15744231000,-0.004940680634063469,-0.0006069492857001047,0.32418182385424144,9.281082608310925,1.087077369016657,119982882.73040907,0.8237407929480435,-0.004940680634063469,1.0121337921234832,0,0.27509834563776475,0.3736231953917717,99803000000.0,94680000000.0,194483000000.0,0,196798000000.0,-2808000000.0,-0.014268437687374872
77,77,2024,29243.108,3088.849161562702,2024-09-28,AAPL,-19154000000,364980000000,308030000000,152987000000,176392000000,20879000000,85750000000,-23405000000,63754000000.0,391035000000,123216000000,11445000000,0,0,93736000000,0,105181000000,3495160329570,227.79,15343783000,-0.06412680146857362,-0.0524795879226259,0.33759658063455533,11.34681793841509,1.0713874732862074,118160512.51118727,0.8439640528248123,-0.06412680146857362,1.1529868550922628,0,0.25682503150857583,0.3414634938155374,96995000000.0,99803000000.0,196798000000.0,0,190731000000.0,-3259000000.0,-0.017086892010213336
38,38,2022,26156.16425,2762.7858849103472,2022-12-31,TSLA,12885000000,82338000000,36440000000,40917000000,26709000000,1016000000,1029000000,14208000000,1530500000.0,81462000000,13910000000,3747000000,191000000,297000000,12556000000,0,16303000000,385553400000,123.18,3130000000,0.17255702105953508,0.15648910588063836,0.16893779299958706,10.58049945115258,0.9893609269110253,29802526.66328932,0.4425660084043819,0.17255702105953508,0.6527604663098467,0,0.1524933809419709,0.44739297475301865,5519000000.0,690000000.0,6209000000.0,0,18075000000.0,7037000000.0,0.3893222683264177
58,58,2023,27820.7545,2938.6108416166567,2023-12-31,TSLA,27882000000,106618000000,43009000000,49616000000,28748000000,1975000000,2682000000,20868000000,3316000000.0,96773000000,10129000000,4667000000,156000000,1066000000,14974000000,-6349000000,13292000000,788675520000,248.48,3174000000,0.1957268003526609,0.26151306533605956,0.0950027199909959,18.337453091213465,0.9076609953291189,36281769.089691654,0.4033934232493575,0.1957268003526609,0.5794098677845856,0,0.14044532818098257,0.3090515938524495,12556000000.0,5519000000.0,18075000000.0,0,27530000000.0,2418000000.0,0.08783145659280785
78,78,2024,29243.108,3088.849161562702,2024-12-31,TSLA,35209000000,122070000000,48390000000,58360000000,28821000000,2343000000,5535000000,29539000000,5110500000.0,97690000000,9340000000,5368000000,350000000,1569000000,7153000000,477000000,12998000000,1297537920000,403.84,3213000000,0.24198410747931515,0.288432866388138,0.07651347587449824,26.81417482951023,0.8002785287130335,39519573.023838654,0.3964118948144507,0.24198410747931515,0.49384852638793697,0,0.058597526009666584,0.2686092167803265,14974000000.0,12556000000.0,27530000000.0,0,22127000000.0,-7821000000.0,-0.3534595742757717
39,39,2022,26156.16425,2762.7858849103472,2022-12-31,AMZN,83193000000,462675000000,316632000000,146791000000,155393000000,0,67150000000,-8602000000,33575000000.0,513983000000,-3569000000,41921000000,2367000000,989000000,-2722000000,-8148000000,31051000000,855876000000,84.0,10189000000,-0.018591884151942507,0.17980872102447723,-0.007713838007240504,2.7030622299704388,1.1108942562273734,167466832.1302119,0.6843507861890096,-0.018591884151942507,1.0586003229080803,0,-0.0058831793375479545,0.09806652517749312,33364000000.0,21331000000.0,54695000000.0,0,36086000000.0,-36086000000.0,-1.0
59,59,2023,27820.7545,2938.6108416166567,2023-12-31,AMZN,113618000000,527854000000,325979000000,172351000000,164917000000,0,58314000000,7434000000,29157000000.0,574785000000,40739000000,48663000000,3182000000,2949000000,30425000000,-5876000000,73212000000,1565589760000,151.94,10304000000,0.014083439739018743,0.2152451245988474,0.07717853800482709,4.802731955125943,1.0889090543976174,179627051.16462606,0.6175552330758126,0.014083439739018743,0.9568670909945403,0,0.057639044129626754,0.22459115464493112,-2722000000.0,33364000000.0,30642000000.0,0,33147000000.0,33147000000.0,1.0
79,79,2024,29243.108,3088.849161562702,2024-12-31,AMZN,172866000000,624894000000,338924000000,190867000000,179431000000,0,52623000000,11436000000,26311500000.0,637959000000,71020000000,52795000000,2406000000,4677000000,59248000000,-4648000000,107395000000,2297671470000,219.39,10473000000,0.01830070379936437,0.27663251687486196,0.11365127525628346,6.779311792614274,1.020907545919788,202306414.8862016,0.5423703860174686,0.01830070379936437,0.9400839327908963,0,0.09481288026449286,0.31687044883218657,30425000000.0,-2722000000.0,27703000000.0,0,89673000000.0,28823000000.0,0.3214233938866771
60,60,2023,27820.7545,2938.6108416166567,2023-06-30,MSFT,118848000000,411976000000,205753000000,184257000000,104149000000,5247000000,41990000000,80108000000,26242000000.0,211915000000,91279000000,13861000000,1968000000,2994000000,72361000000,-6059000000,80163000000,2535660840000,340.54,7446000000,0.1944482202846768,0.28848282424218885,0.22156387750742762,12.323809810792552,0.5143867603938094,140194133.28419977,0.499429578422044,0.1944482202846768,0.5652376843213555,0,0.175643726819038,0.38960792795244786,72738000000.0,61271000000.0,134009000000.0,0,145099000000.0,-377000000.0,-0.002598226038773527
80,80,2024,29243.108,3088.849161562702,2024-06-30,MSFT,173144000000,512163000000,243686000000,159734000000,125286000000,8942000000,42688000000,34448000000,30286000000.0,245122000000,110722000000,22287000000,2935000000,3157000000,88136000000,-4738000000,105685000000,3393960630000,456.73,7431000000,0.06725983720026632,0.33806424907695404,0.21618508170250486,13.927597933406105,0.47860153896318164,165810298.0143219,0.47579774407756903,0.06725983720026632,0.7843414676900347,0,0.17208583985957596,0.43369335948720894,72361000000.0,72738000000.0,145099000000.0,0,160497000000.0,15775000000.0,0.0982884415285021
97,97,2025,30002.662,3169.0782444653,2025-06-30,MSFT,237731000000,619003000000,275524000000,191131000000,141218000000,11595000000,40152000000,49913000000,31671000000.0,281724000000,126012000000,34153000000,2385000000,2647000000,101832000000,-7056000000,128929000000,3697248530000,497.41,7433000000,0.08063450419464849,0.38405468147973437,0.2035725190346412,13.418970870051249,0.4551254194244616,195325880.98166087,0.44510931287893596,0.08063450419464849,0.7388545029325436,0,0.16450970350709124,0.4679410868018757,88136000000.0,72361000000.0,160497000000.0,0,189968000000.0,13696000000.0,0.07209635306999074
61,61,2023,27820.7545,2938.6108416166567,2023-01-29,NVDA,10171000000,41182000000,19081000000,23073000000,6563000000,1250000000,9703000000,16510000000,6101500000.0,26974000000,4443000000,1544000000,262000000,267000000,4368000000,-2164000000,3748000000,476509200000,19.16,24870000000,0.4009033072701666,0.24697683453936187,0.10788694089650819,24.972967873801164,0.6549949006847652,14014104.697627809,0.46333349521635664,0.4009033072701666,0.28444502232046115,0,0.10606575688407557,0.19642576384885488,9752000000.0,4332000000.0,14084000000.0,0,14120000000.0,-5384000000.0,-0.3813031161473088
81,81,2024,29243.108,3088.849161562702,2024-01-28,NVDA,29817000000,65728000000,22750000000,44345000000,10631000000,1250000000,8459000000,33714000000,5479500000.0,60922000000,34075000000,1508000000,257000000,866000000,29760000000,-2489000000,28779000000,1542384300000,62.47,24690000000,0.5129320837390458,0.4536422833495618,0.5184244157740994,67.79711208791208,0.9268804771178188,21279122.599417277,0.346123417721519,0.5129320837390458,0.23973390461156838,0,0.4527750730282376,1.265010989010989,4368000000.0,9752000000.0,14120000000.0,0,34128000000.0,25392000000.0,0.7440225035161744
